Step,Loss,Learning Rate,Epoch,Global Step
1,6.0862,5.000000000000001e-07,0.017094017094017096,1
2,3.5816,1.0000000000000002e-06,0.03418803418803419,2
3,4.6204,1.5e-06,0.05128205128205128,3
4,3.5203,2.0000000000000003e-06,0.06837606837606838,4
5,4.5869,2.5e-06,0.08547008547008547,5
6,3.2614,3e-06,0.10256410256410256,6
7,4.5435,3.5000000000000004e-06,0.11965811965811966,7
8,4.8995,4.000000000000001e-06,0.13675213675213677,8
9,4.0461,4.5e-06,0.15384615384615385,9
10,3.0573,5e-06,0.17094017094017094,10
11,4.028,5.500000000000001e-06,0.18803418803418803,11
12,3.8499,6e-06,0.20512820512820512,12
13,4.7373,6.5000000000000004e-06,0.2222222222222222,13
14,4.5065,7.000000000000001e-06,0.23931623931623933,14
15,3.6164,7.5e-06,0.2564102564102564,15
16,3.7006,8.000000000000001e-06,0.27350427350427353,16
17,4.7089,8.500000000000002e-06,0.2905982905982906,17
18,4.0199,9e-06,0.3076923076923077,18
19,4.3878,9.5e-06,0.3247863247863248,19
20,3.3646,1e-05,0.3418803418803419,20
21,2.9654,1.05e-05,0.358974358974359,21
22,3.8352,1.1000000000000001e-05,0.37606837606837606,22
23,3.8672,1.1500000000000002e-05,0.39316239316239315,23
24,3.3748,1.2e-05,0.41025641025641024,24
25,3.3451,1.25e-05,0.42735042735042733,25
26,2.9949,1.3000000000000001e-05,0.4444444444444444,26
27,2.9741,1.3500000000000001e-05,0.46153846153846156,27
28,3.4473,1.4000000000000001e-05,0.47863247863247865,28
29,2.8555,1.45e-05,0.49572649572649574,29
30,2.6674,1.5e-05,0.5128205128205128,30
31,2.2257,1.55e-05,0.5299145299145299,31
32,2.6415,1.6000000000000003e-05,0.5470085470085471,32
33,2.953,1.65e-05,0.5641025641025641,33
34,1.8329,1.7000000000000003e-05,0.5811965811965812,34
35,1.8731,1.75e-05,0.5982905982905983,35
36,1.8008,1.8e-05,0.6153846153846154,36
37,2.0076,1.85e-05,0.6324786324786325,37
38,1.8086,1.9e-05,0.6495726495726496,38
39,1.7631,1.9500000000000003e-05,0.6666666666666666,39
40,2.1697,2e-05,0.6837606837606838,40
41,1.1629,2.05e-05,0.7008547008547008,41
42,1.9919,2.1e-05,0.717948717948718,42
43,1.4498,2.15e-05,0.7350427350427351,43
44,1.5531,2.2000000000000003e-05,0.7521367521367521,44
45,1.2408,2.25e-05,0.7692307692307693,45
46,1.5355,2.3000000000000003e-05,0.7863247863247863,46
47,1.1622,2.35e-05,0.8034188034188035,47
48,1.2538,2.4e-05,0.8205128205128205,48
49,1.2176,2.45e-05,0.8376068376068376,49
50,1.5281,2.5e-05,0.8547008547008547,50
51,1.3331,2.5500000000000003e-05,0.8717948717948718,51
52,1.0345,2.6000000000000002e-05,0.8888888888888888,52
53,1.3481,2.6500000000000004e-05,0.905982905982906,53
54,1.0924,2.7000000000000002e-05,0.9230769230769231,54
55,1.3422,2.7500000000000004e-05,0.9401709401709402,55
56,0.9703,2.8000000000000003e-05,0.9572649572649573,56
57,1.1027,2.8499999999999998e-05,0.9743589743589743,57
58,1.4015,2.9e-05,0.9914529914529915,58
